Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
three_hump_camel,"[0.0108, 0.0044]",0.0003,0.001,0.7,"[-3.1035, 0.7106]",25,good,-3.1035,0.7106,3.8141,4,5
three_hump_camel,"[0.0056, -0.0289]",0.00074,0.0,0.9,"[-1.8987, 1.998]",9,good,-1.8987,1.998,3.8967,4,7
three_hump_camel,"[-1.4121, 0.7061]",0.63597,0.003,0.1,"[-1.4121, 1.7691]",164,bad,-1.4121,1.7691,3.1811999999999996,3,0
three_hump_camel,"[-0.0159, 0.024]",0.0007,0.0,0.8,"[-4.4818, 2.6472]",18,good,-4.4818,2.6472,7.129,12,6
three_hump_camel,"[1.7476, -0.8738]",0.29864,0.004,0.6,"[-3.9705, 3.2744]",170,bad,-3.9705,3.2744,7.2448999999999995,12,4
three_hump_camel,"[-0.0102, 0.0244]",0.00056,0.0,1.0,"[-2.8481, 4.7826]",28,good,-2.8481,4.7826,7.630700000000001,13,8
three_hump_camel,"[-0.0122, -0.0185]",0.00087,0.0,1.0,"[-4.3129, 1.2423]",15,good,-4.3129,1.2423,5.5552,8,8
three_hump_camel,"[0.0158, -0.0161]",0.0005,0.001,0.6,"[-0.105, 2.726]",25,good,-0.105,2.726,2.831,2,4
three_hump_camel,"[0.0096, -0.0087]",0.00018,0.0,1.0,"[-0.1477, 3.8377]",17,good,-0.1477,3.8377,3.9854,4,8
three_hump_camel,"[-0.022, 0.0018]",0.00093,0.0005,0.6,"[-2.074, 4.4287]",21,good,-2.074,4.4287,6.5027,10,4
three_hump_camel,"[-0.0093, -0.0038]",0.00022,0.001,0.9,"[-2.8391, 2.4639]",26,good,-2.8391,2.4639,5.303000000000001,7,7
three_hump_camel,"[1.7476, -0.8738]",0.29864,0.0033,0.1,"[-4.7488, 2.0277]",166,bad,-4.7488,2.0277,6.7765,11,0
three_hump_camel,"[1.7476, -0.8738]",0.29864,0.003,1.0,"[-2.3105, 3.6159]",164,bad,-2.3105,3.6159,5.9264,9,8
three_hump_camel,"[-1.7476, 0.8738]",0.29864,0.0035,0.2,"[-2.547, 0.9849]",168,bad,-2.547,0.9849,3.5319000000000003,3,0
three_hump_camel,"[0.0191, 0.0042]",0.00082,0.001,1.0,"[-0.4263, 3.3162]",24,good,-0.4263,3.3162,3.7424999999999997,4,8
three_hump_camel,"[-0.0235, 0.0151]",0.00098,0.001,0.5,"[-0.5299, 1.1502]",13,good,-0.5299,1.1502,1.6801,1,3
three_hump_camel,"[-0.0236, 0.0161]",0.00099,0.001,0.5,"[-2.2735, 1.6674]",22,good,-2.2735,1.6674,3.9409,4,3
three_hump_camel,"[-0.0152, 0.0222]",0.00062,0.001,0.5,"[-0.3886, 3.7727]",16,good,-0.3886,3.7727,4.1613,5,3
three_hump_camel,"[0.009, -0.0321]",0.0009,0.0,0.6,"[-4.3343, 4.2532]",23,good,-4.3343,4.2532,8.587499999999999,14,4
three_hump_camel,"[0.0081, 0.0107]",0.00033,0.001,0.6,"[-0.5443, 0.7469]",17,good,-0.5443,0.7469,1.2912,0,4
three_hump_camel,"[0.0132, -0.0131]",0.00035,0.0,0.8,"[-0.5892, 3.8296]",28,good,-0.5892,3.8296,4.4188,5,6
three_hump_camel,"[-0.0122, 0.0219]",0.00051,0.001,0.8,"[-4.8456, 1.4353]",19,good,-4.8456,1.4353,6.2809,9,6
three_hump_camel,"[-0.0037, 0.0275]",0.00068,0.001,0.6,"[-0.533, 3.4856]",13,good,-0.533,3.4856,4.0186,4,4
three_hump_camel,"[-0.02, 0.0089]",0.0007,0.0,0.4,"[-2.6235, 3.1768]",19,good,-2.6235,3.1768,5.8003,8,2
three_hump_camel,"[-1.7023, 0.8511]",0.30965,0.0056,0.1,"[-1.7023, 4.8036]",215,bad,-1.7023,4.8036,6.5059000000000005,10,0
three_hump_camel,"[-0.0133, 0.0154]",0.00039,0.001,0.4,"[-1.9121, 4.0614]",22,good,-1.9121,4.0614,5.9735,9,2
three_hump_camel,"[0.0058, -0.023]",0.00046,0.001,0.1,"[-4.2511, 2.9617]",10,good,-4.2511,2.9617,7.2128,12,0
three_hump_camel,"[0.0196, 0.0039]",0.00086,0.0,0.4,"[-1.515, 4.945]",21,good,-1.515,4.945,6.46,10,2
three_hump_camel,"[-0.0016, 0.0057]",3e-05,0.0,0.1,"[-0.1682, 0.3911]",7,good,-0.1682,0.3911,0.5593,0,0
